iter	Logloss
0	0.6899608167
1	0.6858884993
2	0.6816283317
3	0.6775342314
4	0.6733813606
5	0.6697986185
6	0.6663563327
7	0.6635586904
8	0.6606800093
9	0.6578579421
10	0.6556836455
11	0.6530429045
12	0.6501414161
13	0.6479784423
14	0.6459396955
15	0.6435921605
16	0.6414813254
17	0.6385501282
18	0.6355415587
19	0.6332992176
20	0.6299487003
21	0.6276949825
22	0.6252309846
23	0.6236393258
24	0.6219013335
25	0.6202415224
26	0.6179003496
27	0.6159474403
28	0.6138934348
29	0.6121287531
30	0.6099591474
31	0.6079357134
32	0.605852646
33	0.6042223819
34	0.6022349651
35	0.6003344101
36	0.5985689736
37	0.5969037706
38	0.5952353326
39	0.5935617184
40	0.5915063649
41	0.5900819057
42	0.5890163786
43	0.5870979228
44	0.5860540707
45	0.5843909166
46	0.5827139056
47	0.5813182386
48	0.5798974998
49	0.5785484718
50	0.5769228986
51	0.575470456
52	0.5738833801
53	0.5723663438
54	0.5713343536
55	0.5704490742
56	0.5692473503
57	0.5680902164
58	0.566583101
59	0.5655913875
60	0.5644330136
61	0.5627812362
62	0.5616122943
63	0.5600835578
64	0.5591244108
65	0.557636598
66	0.5565458372
67	0.5554440232
68	0.5546552031
69	0.5536227277
70	0.5522691706
71	0.5512119468
72	0.5496417474
73	0.5484953971
74	0.5474790971
75	0.5462095443
76	0.5447741936
77	0.54347229
78	0.5423614178
79	0.5414474002
80	0.5401755289
81	0.5390359184
82	0.5383824864
83	0.5376626813
84	0.5363352745
85	0.5351489711
86	0.5341732713
87	0.5330849907
88	0.5322911562
89	0.5310824768
90	0.5299321367
91	0.5287830366
92	0.5279643999
93	0.5272442713
94	0.5264797682
95	0.5257566742
96	0.5247054892
97	0.5233146209
98	0.5223779038
99	0.5216559959
100	0.5207929308
101	0.5199401101
102	0.5190584971
103	0.518324242
104	0.5170394844
105	0.5163853514
106	0.5155886054
107	0.5150725564
108	0.5143103717
109	0.5132778963
110	0.5124762977
111	0.5114649041
112	0.5102733167
113	0.5091596947
114	0.508302237
115	0.5071501176
116	0.5064271853
117	0.5054135811
118	0.5045799013
119	0.5039650745
120	0.5030586054
121	0.5024855112
122	0.5016279996
123	0.5009115913
124	0.500117649
125	0.4995415893
126	0.4988296563
127	0.4982897755
128	0.4975062933
129	0.4967081993
130	0.4963300725
131	0.4956896886
132	0.4945343341
133	0.4938274154
134	0.4932387928
135	0.4924222589
136	0.4917452108
137	0.4910143525
138	0.4901639581
139	0.489518452
140	0.4886419074
141	0.4880933458
142	0.487345126
143	0.4865861225
144	0.4859936178
145	0.4850720517
146	0.4847384072
147	0.4841986343
148	0.483404692
149	0.4829068133
150	0.4823978276
151	0.4816822281
152	0.4812002014
153	0.4803999507
154	0.4798336501
155	0.4792896716
156	0.4787309195
157	0.478251319
158	0.4775779374
159	0.4768289627
160	0.4762946355
161	0.4755270591
162	0.475141222
163	0.4745246159
164	0.4741402886
165	0.4734263066
166	0.4728758579
167	0.4724276378
168	0.4716863194
169	0.4709113023
170	0.4702257352
171	0.4696140896
172	0.4688997842
173	0.4683552125
174	0.4678344187
175	0.4673032188
176	0.4665692872
177	0.4660372785
178	0.4654619197
179	0.4649784371
180	0.4643991423
181	0.4640260299
182	0.4634075906
183	0.4628975265
184	0.4625554708
185	0.4621118337
186	0.4614022191
187	0.4608667596
188	0.4602971161
189	0.4598038205
190	0.4594569661
191	0.4588874305
192	0.4582117842
193	0.4575190999
194	0.4566550103
195	0.4561359958
196	0.4555155077
197	0.4550287361
198	0.4542329067
199	0.4534943382
200	0.4528309313
201	0.4521508369
202	0.4516645236
203	0.4513058073
204	0.4506778245
205	0.45003062
206	0.4495820494
207	0.4489076702
208	0.4481223817
209	0.4476112393
210	0.4471435008
211	0.4465838321
212	0.4459509428
213	0.445396639
214	0.4449585824
215	0.4446028315
216	0.4442391547
217	0.4436371604
218	0.4431279051
219	0.4427560328
