iter	Passed	Remaining
0	62	62828
1	64	31962
2	65	21657
3	66	16456
4	66	13277
5	67	11150
6	67	9616
7	68	8477
8	68	7584
9	69	6853
10	69	6263
11	70	5769
12	70	5348
13	70	4979
14	71	4723
15	72	4486
16	73	4253
17	74	4044
18	75	3872
19	75	3693
20	75	3537
21	76	3395
22	77	3276
23	77	3168
24	78	3064
25	79	2961
26	79	2877
27	80	2796
28	80	2705
29	81	2628
30	82	2567
31	82	2500
32	83	2440
33	83	2375
34	85	2363
35	86	2308
36	86	2257
37	87	2209
38	87	2158
39	87	2107
40	88	2060
41	88	2016
42	88	1973
43	88	1933
44	89	1895
45	89	1858
46	89	1819
47	89	1784
48	90	1748
49	90	1717
50	90	1686
51	91	1659
52	91	1636
53	92	1613
54	92	1593
55	93	1571
56	93	1551
57	94	1528
58	94	1505
59	94	1482
60	94	1460
61	95	1438
62	95	1422
63	96	1404
64	96	1384
65	96	1365
66	97	1351
67	97	1337
68	98	1322
69	100	1329
70	102	1338
71	102	1323
72	103	1310
73	104	1302
74	105	1296
75	105	1288
76	106	1281
77	107	1272
78	108	1263
79	108	1253
80	109	1243
81	110	1234
82	110	1225
83	111	1216
84	112	1206
85	112	1199
86	114	1200
87	116	1212
88	117	1200
89	118	1196
90	118	1187
91	119	1177
92	119	1167
93	120	1158
94	120	1152
95	121	1146
96	122	1139
97	122	1131
98	123	1124
99	123	1114
100	125	1115
101	126	1111
102	127	1108
103	127	1101
104	128	1091
105	130	1096
106	131	1096
107	131	1088
108	132	1079
109	134	1085
110	134	1079
111	139	1108
112	141	1108
113	141	1103
114	142	1096
115	143	1093
116	143	1085
117	144	1080
118	145	1076
119	145	1070
120	146	1062
121	146	1056
122	147	1048
123	147	1041
124	147	1033
125	148	1026
126	148	1021
127	149	1015
128	149	1010
129	150	1004
130	150	1000
131	151	996
132	152	992
133	152	987
134	153	981
135	153	975
136	153	969
137	154	963
138	154	957
139	154	951
140	155	946
141	155	941
142	156	935
143	156	929
144	156	923
145	156	917
146	157	912
147	157	906
148	157	900
149	157	894
150	158	890
151	158	885
152	159	881
153	159	878
154	160	874
155	160	869
156	161	864
157	162	863
158	162	859
159	163	857
160	163	854
161	164	852
162	165	848
163	165	845
164	166	841
165	166	837
166	167	835
167	168	832
168	168	828
169	168	823
170	169	819
171	169	815
172	170	813
173	170	809
174	170	805
175	171	801
176	171	796
177	171	792
178	171	788
179	173	792
180	174	789
181	175	790
182	176	786
183	177	785
184	177	783
185	178	782
186	179	779
187	179	775
188	179	772
189	180	768
190	180	765
191	181	762
192	181	759
193	182	757
194	182	754
195	183	752
196	183	750
197	184	746
198	184	744
199	185	741
200	186	739
201	186	736
202	186	733
203	187	732
204	188	730
205	188	728
206	189	726
207	190	726
208	191	725
209	192	723
210	192	721
211	193	719
212	194	718
213	195	716
214	195	714
215	196	712
216	196	710
217	197	708
218	198	706
219	198	703
220	199	703
221	200	702
222	202	704
223	202	702
224	204	703
225	204	701
226	205	698
227	206	697
228	206	695
229	206	692
230	207	690
231	207	687
232	209	688
233	209	686
234	210	683
235	210	681
236	210	679
237	211	676
238	211	673
239	211	670
240	212	668
241	212	665
242	212	662
243	213	660
244	213	658
245	214	656
246	215	655
247	215	654
248	216	653
249	217	652
250	217	650
251	218	648
252	219	648
253	220	646
254	220	644
255	221	644
256	222	643
257	223	641
258	223	640
259	224	638
260	225	637
261	225	635
262	226	633
263	226	631
264	227	629
265	227	628
266	228	626
267	228	624
268	229	622
269	229	621
270	230	619
271	230	617
272	231	616
273	231	614
274	233	615
275	235	616
276	235	614
277	235	611
278	236	610
279	236	609
280	237	607
281	237	605
282	238	603
283	238	602
284	239	600
285	239	598
286	240	596
287	240	595
288	241	594
289	242	592
290	242	590
291	242	588
292	243	587
293	243	585
294	244	584
295	245	582
296	245	581
297	246	580
298	247	579
299	247	577
300	248	576
301	248	574
302	249	574
303	249	572
304	250	570
305	251	569
306	251	567
307	251	565
308	252	564
309	252	562
310	253	561
311	253	559
312	254	557
313	254	556
314	254	554
315	255	552
316	255	550
317	255	548
318	255	546
319	256	544
320	257	544
321	258	544
322	259	542
323	260	543
324	260	541
325	261	540
326	263	542
327	264	541
328	264	539
329	265	538
330	266	537
331	266	537
332	267	535
333	268	534
334	269	534
335	269	533
336	270	532
337	271	531
338	271	530
339	272	529
340	273	528
341	274	527
342	274	526
343	275	525
344	276	524
345	276	523
346	277	521
347	277	520
348	278	519
349	279	518
350	279	516
351	279	515
352	280	513
353	280	512
354	281	511
355	281	509
356	282	507
357	282	506
358	282	505
359	283	503
360	283	502
